fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""انت"""
272,226,144,257,333,"""يوم"""
374,226,406,245,459,"""فراوله"""
239,457,407,238,432,"""حماتي"""
446,428,400,193,287,"""شبه"""
457,446,416,257,255,"""نحن"""
464,446,432,304,496,"""ملك"""
277,186,174,224,494,"""هاجر"""
231,134,289,225,496,"""احمد"""
253,123,144,125,279,"""يوستينا"""
291,216,288,176,365,"""هنا"""
437,442,425,257,505,"""رنا"""
378,346,320,166,294,"""شجره"""
286,265,240,59,257,"""صابون"""
240,183,182,71,496,"""تمر"""
203,256,361,422,521,"""طياره"""
319,266,390,306,405,"""يحلق"""
363,227,430,240,398,"""نكته"""
352,257,441,274,486,"""غبي"""
284,172,181,49,382,"""طفل"""
342,215,216,82,361,"""يلعب"""
437,432,371,203,350,"""كابوريا"""
295,146,160,231,506,"""توت"""
451,202,228,158,329,"""فلفل"""
204,173,106,64,342,"""ناموس"""
443,440,418,218,493,"""هون"""
272,166,209,79,451,"""ورده"""
432,256,219,117,493,"""ياسر"""
298,221,173,45,519,"""انت"""
351,303,196,224,302,"""يوم"""
368,253,496,258,356,"""فراوله"""
197,476,469,218,447,"""حماتي"""
450,429,437,223,272,"""شبه"""
430,339,375,179,306,"""نحن"""
357,346,363,207,487,"""ملك"""
311,200,170,135,491,"""هاجر"""
306,211,212,288,489,"""احمد"""
311,189,135,111,405,"""يوستينا"""
304,186,258,270,393,"""هنا"""
343,384,373,207,202,"""رنا"""
418,472,464,224,251,"""شجره"""
298,231,202,113,402,"""صابون"""
299,193,189,87,490,"""تمر"""
317,233,432,272,500,"""طياره"""
336,253,336,255,498,"""يحلق"""
223,192,447,208,328,"""نكته"""
293,256,445,266,511,"""غبي"""
304,224,198,21,405,"""طفل"""
261,190,168,37,359,"""يلعب"""
408,466,452,226,336,"""كابوريا"""
323,219,164,240,507,"""توت"""
419,185,144,31,337,"""فلفل"""
287,166,157,64,363,"""ناموس"""
461,432,416,272,538,"""هون"""
318,240,173,46,496,"""ورده"""
420,199,157,48,528,"""ياسر"""
325,239,203,26,471,"""انت"""
240,224,167,234,445,"""يوم"""
266,227,279,179,464,"""فراوله"""
300,466,469,197,352,"""حماتي"""
374,394,375,85,371,"""شبه"""
413,455,437,157,430,"""نحن"""
414,400,405,182,385,"""ملك"""
272,176,162,215,483,"""هاجر"""
189,160,266,398,477,"""احمد"""
304,304,210,156,391,"""يوستينا"""
289,264,362,257,442,"""هنا"""
412,460,458,265,448,"""رنا"""
387,437,444,240,465,"""شجره"""
337,304,257,123,397,"""صابون"""
249,192,163,27,506,"""تمر"""
357,305,410,223,483,"""طياره"""
391,374,402,282,495,"""يحلق"""
237,226,465,203,455,"""نكته"""
203,199,426,255,465,"""غبي"""
259,267,214,27,368,"""طفل"""
311,276,203,11,435,"""يلعب"""
392,440,442,218,477,"""كابوريا"""
336,209,184,279,523,"""توت"""
387,209,173,16,373,"""فلفل"""
336,268,211,69,397,"""ناموس"""
351,366,339,138,398,"""هون"""
306,219,219,19,491,"""ورده"""
400,263,226,74,511,"""ياسر"""
269,205,191,21,496,"""انت"""
279,255,182,281,325,"""يوم"""
296,266,453,214,360,"""فراوله"""
257,449,444,202,391,"""حماتي"""
387,353,277,131,400,"""شبه"""
412,402,407,250,405,"""نحن"""
322,411,401,234,493,"""ملك"""
288,265,197,161,506,"""هاجر"""
358,297,483,154,494,"""احمد"""
301,182,122,36,339,"""يوستينا"""
254,261,471,123,304,"""هنا"""
414,455,379,277,474,"""رنا"""
400,449,426,277,481,"""شجره"""
336,311,253,50,240,"""صابون"""
293,239,188,17,455,"""تمر"""
275,281,394,209,482,"""طياره"""
368,324,393,253,465,"""يحلق"""
208,178,443,222,409,"""نكته"""
300,217,435,242,485,"""غبي"""
292,297,209,48,391,"""طفل"""
357,259,208,46,422,"""يلعب"""
399,448,429,213,359,"""كابوريا"""
321,240,179,213,480,"""توت"""
400,253,160,18,378,"""فلفل"""
384,275,201,66,354,"""ناموس"""
440,439,415,277,530,"""هون"""
243,197,187,30,486,"""ورده"""
421,295,235,65,486,"""ياسر"""
450,349,288,180,479,"""انت"""
388,352,201,272,395,"""يوم"""
327,253,434,258,386,"""فراوله"""
272,490,438,258,416,"""حماتي"""
368,351,365,105,365,"""شبه"""
394,434,417,267,400,"""نحن"""
406,434,414,240,499,"""ملك"""
308,186,178,155,485,"""هاجر"""
303,251,283,384,446,"""احمد"""
232,264,137,113,369,"""يوستينا"""
323,287,382,327,399,"""هنا"""
357,432,451,274,369,"""رنا"""
368,431,425,232,394,"""شجره"""
312,260,170,44,331,"""صابون"""
383,303,227,39,493,"""تمر"""
395,348,420,283,496,"""طياره"""
350,272,390,299,469,"""يحلق"""
238,233,467,217,389,"""نكته"""
400,299,465,259,510,"""غبي"""
320,239,190,64,304,"""طفل"""
319,238,204,34,343,"""يلعب"""
406,448,432,208,412,"""كابوريا"""
379,235,173,333,494,"""توت"""
338,370,346,347,319,"""فلفل"""
382,288,231,110,269,"""ناموس"""
412,400,400,307,518,"""هون"""
320,282,245,48,493,"""ورده"""
368,218,261,69,480,"""ياسر"""
387,240,208,39,509,"""انت"""
318,224,205,370,410,"""يوم"""
311,244,448,348,414,"""فراوله"""
254,466,477,251,403,"""حماتي"""
385,368,306,113,346,"""شبه"""
373,468,420,233,406,"""نحن"""
413,466,416,219,493,"""ملك"""
301,167,167,287,494,"""هاجر"""
338,264,339,240,494,"""احمد"""
307,237,133,69,366,"""يوستينا"""
329,239,214,347,445,"""هنا"""
309,400,375,230,291,"""رنا"""
368,481,474,321,496,"""شجره"""
358,218,225,57,256,"""صابون"""
366,183,178,42,504,"""تمر"""
349,259,345,368,486,"""طياره"""
372,278,344,351,461,"""يحلق"""
319,260,447,183,294,"""نكته"""
379,268,448,249,504,"""غبي"""
372,311,234,16,299,"""طفل"""
341,183,148,35,272,"""يلعب"""
349,475,458,261,415,"""كابوريا"""
341,206,175,361,466,"""توت"""
400,224,167,268,400,"""فلفل"""
379,201,181,91,489,"""ناموس"""
418,399,378,143,536,"""هون"""
331,252,263,48,494,"""ورده"""
423,52,192,18,494,"""ياسر"""
371,199,134,314,387,"""بحبك"""
291,192,144,64,353,"""نسر"""
403,451,438,42,426,"""بخير"""
267,176,190,43,351,"""يؤلم"""
270,137,162,15,347,"""مؤلم"""
304,220,208,169,329,"""انا"""
400,99,425,269,493,"""احلي"""
392,209,237,195,389,"""رهيب"""
397,434,454,236,500,"""سعيده"""
385,259,460,263,496,"""الديك"""
292,221,218,64,459,"""دقن"""
368,439,434,233,361,"""اريد"""
377,200,138,318,390,"""بحبك"""
300,195,150,55,355,"""نسر"""
400,456,335,38,420,"""بخير"""
270,177,191,40,355,"""يؤلم"""
271,138,155,18,340,"""مؤلم"""
310,222,215,161,320,"""انا"""
389,87,450,258,500,"""احلي"""
401,187,239,189,390,"""رهيب"""
400,435,450,228,501,"""سعيده"""
381,266,456,254,496,"""الديك"""
290,222,211,55,451,"""دقن"""
365,444,421,335,360,"""اريد"""
377,196,135,318,390,"""بحبك"""
300,196,150,58,350,"""نسر"""
405,449,433,46,428,"""بخير"""
265,170,195,42,361,"""يؤلم"""
268,139,166,18,352,"""مؤلم"""
311,221,205,165,335,"""انا"""
403,95,419,261,496,"""احلي"""
385,200,235,194,388,"""رهيب"""
400,436,450,231,501,"""سعيده"""
386,258,463,260,498,"""الديك"""
291,222,210,58,435,"""دقن"""
367,441,441,225,357,"""اريد"""
388,203,138,319,390,"""بحبك"""
304,196,148,69,358,"""نسر"""
409,455,440,60,430,"""بخير"""
265,172,188,49,348,"""يؤلم"""
275,140,165,20,350,"""مؤلم"""
300,225,212,173,333,"""انا"""
398,100,416,274,500,"""احلي"""
394,211,239,200,391,"""رهيب"""
400,437,459,230,498,"""سعيده"""
387,261,465,264,490,"""الديك"""
295,226,220,68,457,"""دقن"""
370,441,437,230,362,"""اريد"""
319,201,205,306,380,"""بحبك"""
294,194,147,66,357,"""نسر"""
405,453,440,40,429,"""بخير"""
269,179,194,48,354,"""يؤلم"""
272,139,165,18,350,"""مؤلم"""
306,222,210,171,334,"""انا"""
498,101,427,271,497,"""احلي"""
394,217,239,200,391,"""رهيب"""
395,436,459,240,501,"""سعيده"""
400,261,464,464,500,"""الديك"""
294,225,220,60,452,"""دقن"""
370,441,436,237,364,"""اريد"""
