symptom1,symptom2,symptom3,symptom4,symptom5,disease_name,chronic_or_temporary,contagious
rash,scaling,pain,oozing,scarring,Eczema,false,false
rash,dryness,tenderness,ulceration,scarring,Acne,false,false
rash,flaking,soreness,oozing,scarring,Dermatitis,false,false
rash,dryness,tenderness,oozing,scarring,Acne,false,false
redness,flaking,burning,crusting,thickening,Dermatitis,true,true
swelling,dryness,tenderness,crusting,discoloration,Acne,true,true
rash,scaling,burning,crusting,thickening,Acne,true,true
redness,flaking,burning,oozing,discoloration,Rosacea,true,false
rash,scaling,burning,bleeding,lesions,Rosacea,false,true
redness,cracking,burning,oozing,thickening,Rosacea,true,true
blistering,flaking,tenderness,bleeding,scarring,Rosacea,true,true
swelling,dryness,tenderness,ulceration,scarring,Eczema,true,false
blistering,flaking,burning,bleeding,lesions,Rosacea,false,true
swelling,cracking,pain,crusting,lesions,Rosacea,true,false
itching,cracking,tenderness,ulceration,scarring,Eczema,false,false
redness,scaling,burning,ulceration,scarring,Rosacea,false,false
redness,dryness,tenderness,bleeding,thickening,Rosacea,false,false
rash,cracking,soreness,bleeding,thickening,Acne,true,false
blistering,flaking,soreness,oozing,discoloration,Eczema,true,false
swelling,scaling,pain,ulceration,discoloration,Acne,false,false
rash,dryness,tenderness,ulceration,scarring,Dermatitis,false,false
redness,scaling,tenderness,crusting,scarring,Psoriasis,false,true
redness,cracking,burning,crusting,discoloration,Eczema,true,false
rash,cracking,soreness,oozing,thickening,Dermatitis,false,true
itching,dryness,tenderness,bleeding,discoloration,Psoriasis,false,true
swelling,flaking,burning,crusting,scarring,Psoriasis,true,true
itching,flaking,tenderness,crusting,scarring,Acne,false,true
swelling,flaking,pain,crusting,scarring,Acne,false,false
swelling,flaking,pain,oozing,discoloration,Eczema,false,true
itching,flaking,tenderness,bleeding,lesions,Eczema,false,false
itching,flaking,pain,bleeding,lesions,Acne,false,true
blistering,scaling,soreness,crusting,discoloration,Rosacea,false,false
rash,cracking,burning,crusting,discoloration,Psoriasis,true,true
rash,scaling,pain,bleeding,discoloration,Rosacea,true,true
rash,cracking,pain,ulceration,lesions,Rosacea,true,false
itching,dryness,burning,oozing,discoloration,Acne,true,false
redness,cracking,soreness,ulceration,discoloration,Dermatitis,false,true
redness,flaking,tenderness,bleeding,lesions,Eczema,false,false
redness,dryness,burning,ulceration,scarring,Acne,false,true
redness,dryness,soreness,crusting,thickening,Psoriasis,true,true
blistering,dryness,tenderness,oozing,discoloration,Dermatitis,true,false
blistering,cracking,soreness,crusting,discoloration,Psoriasis,true,false
blistering,scaling,tenderness,oozing,scarring,Acne,false,true
itching,flaking,pain,oozing,lesions,Dermatitis,true,false
swelling,scaling,pain,bleeding,discoloration,Rosacea,false,false
redness,scaling,burning,crusting,lesions,Psoriasis,true,false
rash,dryness,burning,crusting,thickening,Dermatitis,true,false
swelling,scaling,pain,bleeding,lesions,Eczema,true,true
itching,cracking,burning,ulceration,scarring,Eczema,true,false
redness,dryness,burning,crusting,discoloration,Eczema,true,false
