symptom1,symptom2,symptom3,disease_name,chronic_or_temporary,contagious
itching,dryness,pain,Dermatitis,chronic,true
itching,flaking,burning,Acne,temporary,true
redness,flaking,burning,Eczema,temporary,true
redness,dryness,burning,Dermatitis,temporary,false
itching,dryness,pain,Dermatitis,chronic,false
itching,cracking,tenderness,Rosacea,chronic,false
blistering,scaling,burning,Eczema,chronic,false
redness,flaking,tenderness,Rosacea,chronic,false
swelling,flaking,burning,Rosacea,temporary,true
itching,scaling,tenderness,Dermatitis,temporary,false
blistering,scaling,tenderness,Acne,temporary,true
redness,scaling,burning,Psoriasis,chronic,false
redness,dryness,pain,Eczema,temporary,false
blistering,scaling,tenderness,Rosacea,temporary,false
itching,cracking,soreness,Eczema,temporary,false
swelling,cracking,tenderness,Dermatitis,temporary,false
swelling,scaling,soreness,Psoriasis,chronic,false
itching,scaling,burning,Psoriasis,chronic,true
swelling,dryness,soreness,Rosacea,temporary,false
itching,flaking,burning,Rosacea,temporary,false
blistering,flaking,soreness,Eczema,temporary,true
rash,cracking,soreness,Acne,temporary,false
blistering,cracking,tenderness,Eczema,chronic,false
rash,scaling,soreness,Acne,chronic,true
itching,scaling,burning,Dermatitis,chronic,false
redness,flaking,pain,Eczema,temporary,true
redness,scaling,tenderness,Eczema,chronic,false
swelling,scaling,burning,Eczema,chronic,true
blistering,scaling,tenderness,Dermatitis,temporary,false
redness,scaling,burning,Eczema,temporary,true
rash,cracking,burning,Acne,temporary,false
itching,scaling,burning,Psoriasis,chronic,true
swelling,cracking,burning,Dermatitis,chronic,true
itching,scaling,burning,Eczema,chronic,false
swelling,cracking,soreness,Acne,chronic,false
swelling,dryness,tenderness,Eczema,chronic,false
redness,flaking,soreness,Eczema,chronic,true
swelling,cracking,pain,Rosacea,chronic,true
itching,dryness,pain,Rosacea,temporary,false
blistering,dryness,pain,Acne,temporary,true
rash,cracking,tenderness,Rosacea,temporary,true
blistering,scaling,soreness,Eczema,chronic,true
itching,cracking,burning,Psoriasis,temporary,false
redness,scaling,pain,Dermatitis,temporary,false
blistering,cracking,soreness,Rosacea,chronic,true
redness,cracking,soreness,Rosacea,chronic,false
swelling,flaking,tenderness,Acne,temporary,false
blistering,scaling,pain,Dermatitis,temporary,false
redness,flaking,burning,Eczema,temporary,true
redness,flaking,pain,Dermatitis,chronic,false
redness,flaking,pain,Psoriasis,temporary,false
swelling,cracking,soreness,Rosacea,chronic,false
redness,cracking,tenderness,Dermatitis,temporary,false
rash,dryness,tenderness,Acne,temporary,false
blistering,cracking,pain,Acne,chronic,true
swelling,cracking,burning,Eczema,temporary,true
blistering,dryness,soreness,Rosacea,temporary,false
itching,cracking,pain,Rosacea,chronic,true
blistering,scaling,tenderness,Dermatitis,temporary,false
itching,dryness,burning,Acne,chronic,false
redness,dryness,tenderness,Eczema,temporary,false
redness,dryness,tenderness,Eczema,chronic,false
blistering,flaking,burning,Eczema,temporary,true
rash,cracking,burning,Rosacea,chronic,true
redness,cracking,burning,Rosacea,chronic,true
