symptom1,symptom2,symptom3,disease_name,chronic_or_temporary,contagious
rash,cracking,tenderness,Eczema,temporary,true
blistering,cracking,pain,Psoriasis,temporary,true
redness,flaking,tenderness,Acne,chronic,true
swelling,scaling,pain,Eczema,chronic,false
blistering,flaking,burning,Acne,chronic,false
blistering,cracking,burning,Dermatitis,chronic,true
rash,flaking,soreness,Psoriasis,chronic,true
redness,cracking,burning,Eczema,temporary,true
itching,flaking,soreness,Rosacea,temporary,false
swelling,cracking,soreness,Eczema,temporary,true
blistering,flaking,burning,Dermatitis,temporary,false
itching,scaling,pain,Dermatitis,chronic,false
blistering,dryness,tenderness,Dermatitis,chronic,true
itching,scaling,tenderness,Psoriasis,chronic,true
itching,cracking,burning,Eczema,chronic,true
redness,dryness,pain,Dermatitis,chronic,false
itching,scaling,tenderness,Eczema,chronic,false
blistering,scaling,burning,Dermatitis,temporary,true
swelling,dryness,pain,Psoriasis,chronic,false
itching,dryness,soreness,Psoriasis,chronic,false
blistering,flaking,burning,Rosacea,temporary,false
itching,flaking,burning,Acne,chronic,false
itching,dryness,burning,Psoriasis,chronic,true
redness,flaking,burning,Dermatitis,temporary,false
redness,dryness,tenderness,Dermatitis,chronic,true
