fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""قلم"""
272,226,144,257,333,"""تفاح"""
374,226,406,245,459,"""تونه"""
239,457,407,238,432,"""ماما"""
446,428,400,193,287,"""بابا"""
457,446,416,257,255,"""نحن"""
464,446,432,304,496,"""ملك"""
277,186,174,224,494,"""هاجر"""
231,134,289,225,496,"""احمد"""
253,123,144,125,279,"""يوستينا"""
291,216,288,176,365,"""هنا"""
437,442,425,257,505,"""رنا"""
378,346,320,166,294,"""شجره"""
286,265,240,59,257,"""صابون"""
240,183,182,71,496,"""تمر"""
203,256,361,422,521,"""طياره"""
319,266,390,306,405,"""يحلق"""
363,227,430,240,398,"""نكته"""
352,257,441,274,486,"""غبي"""
284,172,181,49,382,"""طفل"""
342,215,216,82,361,"""يلعب"""
437,432,371,203,350,"""كابوريا"""
295,146,160,231,506,"""توت"""
451,202,228,158,329,"""فلفل"""
204,173,106,64,342,"""ناموس"""
443,440,418,218,493,"""هون"""
272,166,209,79,451,"""ورده"""
432,256,219,117,493,"""ياسر"""
298,221,173,45,519,"""قلم"""
351,303,196,224,302,"""تفاح"""
368,253,496,258,356,"""تونه"""
197,476,469,218,447,"""ماما"""
450,429,437,223,272,"""بابا"""
430,339,375,179,306,"""نحن"""
357,346,363,207,487,"""ملك"""
311,200,170,135,491,"""هاجر"""
306,211,212,288,489,"""احمد"""
311,189,135,111,405,"""يوستينا"""
304,186,258,270,393,"""هنا"""
343,384,373,207,202,"""رنا"""
418,472,464,224,251,"""شجره"""
298,231,202,113,402,"""صابون"""
299,193,189,87,490,"""تمر"""
317,233,432,272,500,"""طياره"""
336,253,336,255,498,"""يحلق"""
223,192,447,208,328,"""نكته"""
293,256,445,266,511,"""غبي"""
304,224,198,21,405,"""طفل"""
261,190,168,37,359,"""يلعب"""
408,466,452,226,336,"""كابوريا"""
323,219,164,240,507,"""توت"""
419,185,144,31,337,"""فلفل"""
287,166,157,64,363,"""ناموس"""
461,432,416,272,538,"""هون"""
318,240,173,46,496,"""ورده"""
420,199,157,48,528,"""ياسر"""
325,239,203,26,471,"""قلم"""
240,224,167,234,445,"""تفاح"""
266,227,279,179,464,"""تونه"""
300,466,469,197,352,"""ماما"""
374,394,375,85,371,"""بابا"""
413,455,437,157,430,"""نحن"""
414,400,405,182,385,"""ملك"""
272,176,162,215,483,"""هاجر"""
189,160,266,398,477,"""احمد"""
304,304,210,156,391,"""يوستينا"""
289,264,362,257,442,"""هنا"""
412,460,458,265,448,"""رنا"""
387,437,444,240,465,"""شجره"""
337,304,257,123,397,"""صابون"""
249,192,163,27,506,"""تمر"""
357,305,410,223,483,"""طياره"""
391,374,402,282,495,"""يحلق"""
237,226,465,203,455,"""نكته"""
203,199,426,255,465,"""غبي"""
259,267,214,27,368,"""طفل"""
311,276,203,11,435,"""يلعب"""
392,440,442,218,477,"""كابوريا"""
336,209,184,279,523,"""توت"""
387,209,173,16,373,"""فلفل"""
336,268,211,69,397,"""ناموس"""
351,366,339,138,398,"""هون"""
306,219,219,19,491,"""ورده"""
400,263,226,74,511,"""ياسر"""
269,205,191,21,496,"""قلم"""
279,255,182,281,325,"""تفاح"""
296,266,453,214,360,"""تونه"""
257,449,444,202,391,"""ماما"""
387,353,277,131,400,"""بابا"""
412,402,407,250,405,"""نحن"""
322,411,401,234,493,"""ملك"""
